name,data
Aalborg University,"Aalborg University는 덴마크 북부 지역에 위치한 대학으로, 창의적인 학습 방법과 실전 중심의 교육 프로그램을 제공하는 대학이다."
American University,"미국의 워싱턴DC에 위치한 American University는 세계적인 국제관계 및 정치학 전공으로 유명하며, 활발한 국제적인 학술연구와 취업 기회를 제공합니다."
"American University (2017-2: WSP, 2018-1: AU Abroad)","미국 디시 지역에 위치한 아메리칸 대학으로, 국제적인 다양성과 높은 진학률을 자랑한다."
American University (WSP),"미국의 워싱턴 D.C. 중심가에 위치하며, 현대적인 시설과 교육 프로그램, 유연한 학위 옵션 및 다양한 문화 교류 활동을 제공하는 대학이다."
Aoyama Gakuin University,"Aoyama Gakuin University는 일본 도쿄에 위치하며, 교육과 연구에 대한 열정과 국제화, 인문학, 비즈니스 분야의 강점으로 유명합니다."
Arizona State University,"Arizona State University는 미국 애리조나에 위치하며, 규모와 다양성이 풍부한 공립 대학으로, 우수한 학사 프로그램과 창의적인 연구 기회를 제공합니다."
Arkansas State University,"아칸소우 주 존슨시티에 위치하며, 교육 및 연구 분야에서 규모와 수준이 높은 대학이다."
Aston University,"Aston 대학교는 영국 미드랜드 지역의 버밍엄에 위치하며, 비즈니스, 공학, 사회과학 분야에서 강력한 교육 및 연구 역량을 보유한 프리스티지 대학입니다."
Audencia Business School,"Audencia Business School은 프랑스 남서쪽에서 가장 중요한 도시인 Nantes에 위치한 국제적인 경영 대학이며, 지속 가능성, 산업 혁신 및 국제 비즈니스 분야에 대한 교육 교육과 연구에 대한 전문성을 전문으로 한 학교입니다."
Audencia Nantes School of Management,오드앙스 낭트 경영대학은 프랑스 낭트에 위치하며 국제적인 교육 방식과 산업계와 긴밀한 협력으로 세계적 수준의 경영 인재를 양성합니다.
Australia National University,"오스트레일리아 국립대학교는 캔버라에 위치해 있으며, 우수한 연구 능력과 국제적인 학술 활동을 펼치는 세계적인 대학이다."
Australian National University,"오스트레일리아 국립대학교는 캔버라에 위치한 세계적 수준의 대학으로 대학, 연구 및 지식 전달 분야에서 우수한 성과를 보유하고 있습니다."
Autonomous University of Barcelona,"스페인 카탈루냐 지역 바르셀로나에 위치하며, 스페인어, 카탈로니아어, 영어 등 다양한 언어로 수업을 진행하는 유럽 최고의 대학 중 하나이다."
Autonomous University of Madrid,Autonomous University of Madrid은 스페인 마드리드에 있는 자율 대학으로 교육과 과학 분야에서 저명합니다.
BEM Management School,"BEM Management School은 프랑스 파리에 위치한 경영 대학으로, 국제적인 교육, 취업 지원 및 산업계와의 협력을 강조하며 학생들의 창의성과 리더십을 발전시키는 데 초점을 둔다."
Beijing Institute of Technology,"베이징에 위치하며, 군사기술과 과학기술 분야에서 우수한 연구 및 교육 성과를 가진 대학."
Beijing Normal University,"베이징 노멀 대학교는 중국의 수도인 베이징에 위치하며, 교육과 thecnology 분야에서 국제적인 학술 연구 선도 대학 중 하나이다."
Berlin School of Economics,"베를린 경제 대학교는 독일 베를린에 위치하고 있으며, 경제, 경영, 관리, 회계, 인사관리 등과 관련된 교육과 연구를 주력으로 하는 대학교입니다."
Berlin School of Economics and Law,"베를린 경제 법학 대학은 베를린에 위치하며, 비즈니스 관련 전문 교육을 제공하는 특징이 있습니다."
Berlin School of Economics and Law Schoneberg Campus,베를린 경제법 대학교 쇼네베르크 캠퍼스는 도시 중심부에 위치하며 경제와 사법 분야에 특화된 학교입니다.
Berlin University of Applied Sciences and Technology,베를린 응용과학기술대학교는 도시 중심가에 위치하며 실용적인 과학기술교육과 산업협력에 중점을 둔 대학입니다.
Birmingham City University,"버밍엄 시티 대학교는 영국 버밍엄에 위치하며, 그녀의 전통적인 의무교육, 산업 연계 연구 및 다양한 국제적인 프로그램으로 유명합니다."
Boise State University,"보이시 주립 대학교는 아이다호주 보이시 시내에 위치하며, 야외 스포츠 시설, 예술 단체, 연구 및 교육 기회를 제공하는 대학교입니다."
Bordeaux ecole de management(현 Kedge business school),"보르도에 위치한 경영 전문 대학으로, 국제적으로 인정받는 전략, 인사관리, 마케팅 등의 교육 분야에서 우수한 평가를 받고 있습니다."
Bosphorus University,"보스포러스 대학교는 터키 이스탄불에 위치하며, 유럽과 아시아 대륙을 연결하는 보스포러스 해협을 바라보고 있는 세계적인 대학교입니다."
CBS International Business School,"CBS International Business School은 독일 프랑크푸르트에 위치하며, 국제적으로 인정받는 교육 프로그램과 강력한 취업 지원 시스템을 가진 비즈니스 학교입니다."
CLARKSON UNIVERSITY,클락슨 대학교는 미국 뉴욕 주 북부에 위치하며 공학 및 경영 분야에 강점이 있는 언더그래듣 대학교입니다.
Ca' Foscari University of Venice,"카 포스카리 베네치아 대학은 이탈리아 베네치아에 위치하며 인문과학, 경제 및 비즈니스 분야의 교육과 연구를 중점적으로 추구하는 선구적인 대학입니다."
California State University San Marcos,캘리포니아 주립 대학교 샌 마르코스 캠퍼스는 남쪽 캘리포니아에 위치하며 학생 중심의 학습 환경과 다양한 과목 제공으로 유명하다.
"California State University, Long Beach","캘리포니아 주립 대학교 롱비치 캠퍼스는 로스앤젤레스에서 남쪽으로 약 30분 떨어져 있으며, 바다와 인접한 캠퍼스로 해외 유학생들이 많이 찾는 대학교입니다."
Catholic University of Lille,"카톨릭 리옹 대학은 프랑스의 릴에 위치한 교육 및 연구를 위한 카톨릭 대학으로, 종교적인 가치를 기반으로 지식을 전달하며 사회에 기여합니다."
Catholic University of the Sacred Heart,"카톨릭 신생 대학은 이탈리아 밀라노에 위치하며, 교육, 연구, 사회발전을 위해 종교적 가치와 사랑의 정신을 중요시하는 대학이다."
Charles University,"체코 프라하에 위치하며, 세계에서 가장 오래된 대학 중 하나로 교육의 전통과 역사가 높은 대학이다."
Chemnitz University of Technology,켈른치 대학교는 독일의 동부 지역에 위치하며 과학과 공학 분야에서 선두적인 학술 역량을 보유하고 있습니다.
Chiba University,"일본의 도시인 Chiba에 위치해 있는 Chiba University는 대학원 캠퍼스와 산업대학원을 갖춘 국립 대학으로, 과학공학 분야에서 탁월한 교육과 연구를 진행하고 있다."
Chinese University of Hong Kong,"중국 홍콩 대학교는 중국 영토 내에 있으며, 교육 및 연구 분야에서 세계적인 평가를 받고 있는 대학이다."
Chuo University,"Chuo University는 일본 도쿄에 위치하며, 교육이론과 실무 등 다양한 분야에서 폭넓은 교육을 제공하는 대학입니다."
City University of Hong Kong,시티 유니버시티는 홍콩에 위치하며 교육 질이 높은 대학으로 유명합니다.
Clarkson Univeristy,"클락슨 대학교는 뉴욕 주 북쪽에 위치하며, 공학 분야에서 역량이 높은 프로그램을 갖춘 기술 중심 대학이다."
Clarkson University,클락슨 대학교는 뉴욕주 북부에 위치하며 공학 분야의 교육과 연구에 강점이 있는 대학교입니다.
College of Charleston,"컬리지 오브 찰스턴은 남쪽해안 풍경과 역사적인 건축물들로 인상적인 도시 찰스턴에 위치한 공립 대학으로, 교육적 혁신과 문화적 다양성을 추구하여 그 창의성과 열정적인 학생들로 유명합니다."
Columbia University,"컬럼비아 대학교는 뉴욕에 위치한 세계적인 거점 대학으로, 학문의 전반적인 분야에서 선두적인 위치를 갖추고 있습니다."
Copenhagen Business Academy,"코펜하겐 비즈니스 아카데미는 덴마크 코펜하겐에 위치하며, 학생 중심의 혁신적인 교육과 직업 준비에 중점을 두고 있습니다."
